sample_idx,is_anchor,is_sim,cos_to_anchor,z_l2_to_anchor,true_digit,true_bin_label,pred_bin_label,same_digit_as_anchor,same_bin_as_anchor
0,0,0,0.02387242764234543,6.697738170623779,7,1,1,0,0
1,0,0,0.5612596869468689,6.6707763671875,2,0,0,1,1
2,0,0,0.5965762138366699,6.809844970703125,1,0,0,0,1
3,0,0,0.04661177098751068,8.255439758300781,0,0,0,0,1
4,0,0,0.10875499993562698,7.269835948944092,4,0,0,0,1
5,0,0,0.46040210127830505,6.674177646636963,1,0,0,0,1
6,0,0,0.055844374001026154,7.301860809326172,4,0,0,0,1
7,0,0,0.03128419443964958,7.066965579986572,9,1,1,0,0
8,0,0,0.08057036995887756,7.879214286804199,5,1,1,0,0
9,0,0,0.012801800854504108,6.654151916503906,9,1,1,0,0
10,0,0,0.5507621765136719,7.2090911865234375,0,0,0,0,1
11,0,0,0.6416884660720825,6.801029682159424,6,1,1,0,0
12,0,0,0.024173451587557793,6.904201507568359,9,1,1,0,0
13,0,0,0.058497440069913864,9.190253257751465,0,0,0,0,1
14,0,0,0.11540518701076508,6.938372611999512,1,0,0,0,1
15,0,0,0.7546461820602417,6.88920783996582,5,1,1,0,0
16,0,0,0.09219520539045334,6.580095291137695,9,1,1,0,0
17,0,0,0.026032330468297005,7.089585304260254,7,1,1,0,0
18,0,0,0.237400621175766,7.229971408843994,3,0,0,0,1
19,0,0,0.08086379617452621,7.2746758460998535,4,0,0,0,1
20,0,0,0.021622825413942337,7.390789985656738,9,1,1,0,0
21,0,0,0.5029187202453613,7.041781902313232,6,1,1,0,0
22,0,0,0.41768693923950195,6.561089038848877,6,1,1,0,0
23,0,0,0.03396100550889969,7.006261825561523,5,1,1,0,0
24,0,0,0.1328020542860031,7.040316104888916,4,0,0,0,1
25,0,0,0.27208057045936584,11.011757850646973,0,0,0,0,1
26,0,0,0.030017688870429993,7.261926651000977,7,1,1,0,0
27,0,0,0.030695661902427673,7.339795112609863,4,0,0,0,1
28,0,0,0.09030142426490784,9.57378101348877,0,0,0,0,1
29,0,0,0.022258955985307693,7.3194427490234375,1,0,0,0,1
30,0,0,0.06603743880987167,6.542245864868164,3,0,0,0,1
31,0,0,0.03949328511953354,7.261584281921387,1,0,0,0,1
32,0,0,0.05324295163154602,6.855990886688232,3,0,0,0,1
33,0,0,0.06357358396053314,7.289202690124512,4,0,0,0,1
34,0,0,0.040132030844688416,6.068178653717041,7,1,1,0,0
35,0,1,0.8501783609390259,6.496923923492432,2,0,0,1,1
36,0,0,0.08903710544109344,6.507583141326904,7,1,1,0,0
37,0,0,0.01922626420855522,7.301507472991943,1,0,0,0,1
38,0,0,0.5245032906532288,6.400212287902832,2,0,0,1,1
39,0,0,0.2983080744743347,6.814122676849365,1,0,0,0,1
40,0,0,0.19546650350093842,7.163612365722656,1,0,0,0,1
41,0,0,0.06615915894508362,6.382701396942139,7,1,1,0,0
42,0,0,0.07256486266851425,7.295304775238037,4,0,0,0,1
43,0,0,0.6448907852172852,6.964334011077881,2,0,0,1,1
44,0,0,0.03939003497362137,7.106269836425781,3,0,0,0,1
45,0,0,0.11522956192493439,7.022131443023682,5,1,1,0,0
46,0,0,0.02397317625582218,7.303422451019287,1,0,0,0,1
47,0,0,0.5283945798873901,6.612436771392822,2,0,0,1,1
48,0,0,0.045038748532533646,7.33151388168335,4,0,0,0,1
49,0,0,0.15748979151248932,7.213413238525391,4,0,0,0,1
50,0,0,0.4961327910423279,6.810026168823242,6,1,1,0,0
51,0,0,0.12359517067670822,8.919219017028809,3,0,0,0,1
52,0,0,0.006150839850306511,8.176041603088379,5,1,1,0,0
53,0,0,0.6537955403327942,6.981040000915527,5,1,1,0,0
54,0,0,0.717494785785675,6.658437252044678,6,1,1,0,0
55,0,0,0.062459420412778854,7.011885166168213,0,0,0,0,1
56,0,0,0.054269615560770035,7.350798606872559,4,0,0,0,1
57,0,0,0.5290527939796448,6.858818054199219,1,0,0,0,1
58,0,0,0.012037048116326332,7.324305534362793,9,1,1,0,0
59,0,0,0.014187920838594437,7.313292026519775,5,1,1,0,0
60,0,0,0.006245845463126898,9.390450477600098,7,1,1,0,0
61,0,0,0.0627124011516571,8.07310676574707,8,1,1,0,0
62,0,0,0.15566785633563995,6.692525386810303,9,1,1,0,0
63,0,0,0.3432579040527344,6.136510372161865,3,0,0,0,1
64,0,0,0.01492576114833355,6.359123229980469,7,1,1,0,0
65,0,0,0.18618378043174744,7.177083969116211,4,0,0,0,1
66,0,0,0.5725222826004028,6.522301197052002,6,1,1,0,0
67,0,0,0.12268313020467758,7.235613822937012,4,0,0,0,1
68,0,0,0.12104479968547821,6.190027713775635,3,0,0,0,1
69,0,0,0.051985062658786774,8.68204116821289,0,0,0,0,1
70,0,0,0.014126347377896309,7.815526008605957,7,1,1,0,0
71,0,0,0.17303386330604553,8.575353622436523,0,0,0,0,1
72,0,0,0.7302519679069519,6.56400203704834,2,0,0,1,1
73,0,0,0.0474480576813221,6.263275623321533,9,1,1,0,0
74,0,0,0.01719145104289055,7.309930801391602,1,0,0,0,1
75,0,0,0.05047377943992615,6.884169578552246,7,1,1,0,0
76,0,0,0.7433027029037476,7.009206771850586,3,0,0,0,1
77,0,0,0.16263447701931,6.290541648864746,2,0,0,1,1
78,0,0,0.05644938722252846,6.810240268707275,9,1,1,0,0
79,0,0,0.014964859001338482,6.170648574829102,7,1,1,0,0
80,0,0,0.014437477104365826,8.179122924804688,7,1,1,0,0
81,0,0,0.4865179657936096,7.178951740264893,6,1,1,0,0
82,0,1,0.9885520935058594,5.768883228302002,2,0,0,1,1
83,0,0,0.0189945288002491,7.139965057373047,7,1,1,0,0
84,0,0,0.24009303748607635,6.756219387054443,8,1,1,0,0
85,0,0,0.07146070152521133,7.329481601715088,4,0,0,0,1
86,0,0,0.026630450040102005,6.2186384201049805,7,1,1,0,0
87,0,0,0.033810652792453766,7.123422145843506,3,0,0,0,1
88,0,0,0.23149508237838745,7.223701000213623,6,1,1,0,0
89,0,0,0.5828588008880615,6.686042308807373,1,0,0,0,1
90,0,0,0.3853697180747986,6.936275482177734,3,0,0,0,1
91,0,0,0.3206780254840851,7.587193965911865,6,1,1,0,0
92,0,0,0.058537136763334274,6.960127353668213,9,1,1,0,0
93,0,0,0.062244076281785965,6.248786449432373,3,0,0,0,1
94,0,0,0.01848015934228897,7.267714500427246,1,0,0,0,1
95,0,0,0.015961680561304092,6.8312788009643555,4,0,0,0,1
96,0,0,0.033526428043842316,7.293589115142822,1,0,0,0,1
97,0,0,0.051757119596004486,6.790960788726807,7,1,1,0,0
98,0,0,0.4821840524673462,7.599787712097168,6,1,1,0,0
99,0,0,0.07888180762529373,7.382832050323486,9,1,1,0,0
100,0,0,0.4218878448009491,6.821639060974121,6,1,1,0,0
101,0,0,0.02925623394548893,9.2994384765625,0,0,0,0,1
102,0,0,0.016761165112257004,8.5775728225708,5,1,1,0,0
103,0,0,0.07612273097038269,7.282767295837402,4,0,0,0,1
104,0,0,0.15546473860740662,6.628369331359863,9,1,1,0,0
105,0,0,0.056482575833797455,6.8382954597473145,9,1,1,0,0
106,0,0,0.7845886945724487,6.451519966125488,2,0,0,1,1
107,0,0,0.480445921421051,7.114532470703125,1,0,0,0,1
108,0,0,0.05842430144548416,8.220449447631836,9,1,1,0,0
109,0,0,0.05959504842758179,7.194214820861816,4,0,0,0,1
110,0,0,0.3821786046028137,6.890944004058838,8,1,1,0,0
111,0,0,0.17778430879116058,6.467956066131592,7,1,1,0,0
112,0,0,0.08161629736423492,6.871608257293701,3,0,0,0,1
113,0,0,0.07520467787981033,6.739221572875977,9,1,1,0,0
114,0,0,0.09512673318386078,6.4497246742248535,7,1,1,0,0
115,0,0,0.10858602076768875,6.706818103790283,4,0,1,0,1
116,0,0,0.13769856095314026,7.2638092041015625,4,0,0,0,1
117,0,0,0.05401257053017616,7.329681396484375,4,0,0,0,1
118,0,0,0.04479526728391647,6.748624801635742,9,1,1,0,0
119,0,0,0.26506567001342773,6.189762592315674,2,0,1,1,1
120,0,0,0.05896727740764618,8.510746955871582,5,1,1,0,0
121,0,0,0.03116198629140854,7.020299434661865,4,0,0,0,1
122,0,0,0.09187044203281403,7.011053562164307,7,1,1,0,0
123,0,0,0.6146740913391113,7.019987106323242,6,1,1,0,0
124,0,0,0.03760150820016861,7.056833267211914,7,1,1,0,0
125,0,0,0.20874065160751343,6.889084815979004,9,1,0,0,0
126,0,0,0.6276425719261169,6.641949653625488,0,0,0,0,1
127,0,0,0.017757566645741463,8.5858793258667,5,1,1,0,0
128,0,0,0.1243162676692009,8.588768005371094,8,1,1,0,0
129,0,0,0.02055763453245163,7.7972307205200195,5,1,1,0,0
130,0,0,0.16189409792423248,8.957867622375488,6,1,1,0,0
131,0,0,0.24592827260494232,9.094691276550293,6,1,1,0,0
132,0,0,0.303716778755188,9.200922966003418,5,1,1,0,0
133,0,0,0.25396835803985596,5.933568000793457,7,1,1,0,0
134,0,0,0.05603060871362686,8.795584678649902,8,1,1,0,0
135,0,0,0.2786225974559784,6.728283405303955,1,0,0,0,1
136,0,0,0.8232129216194153,7.575531482696533,0,0,0,0,1
137,0,0,0.5625365376472473,7.260411262512207,1,0,0,0,1
138,0,0,0.26826268434524536,6.850661277770996,6,1,1,0,0
139,0,0,0.014832199551165104,7.317883491516113,4,0,0,0,1
140,0,0,0.2731836140155792,6.8264265060424805,6,1,1,0,0
141,0,0,0.004053776618093252,7.83968448638916,7,1,1,0,0
142,0,0,0.4164388179779053,6.186626434326172,3,0,0,0,1
143,0,0,0.5327484607696533,6.897974967956543,1,0,0,0,1
144,0,0,0.038427986204624176,6.067872047424316,7,1,1,0,0
145,0,0,0.023088602349162102,7.33595085144043,1,0,0,0,1
146,0,0,0.1044110357761383,8.162836074829102,8,1,1,0,0
147,0,1,0.9456272125244141,6.768315315246582,2,0,0,1,1
148,0,0,0.41517752408981323,7.379049301147461,0,0,0,0,1
149,0,0,0.37925922870635986,6.844647407531738,2,0,0,1,1
150,0,0,0.10431523621082306,7.142001628875732,9,1,1,0,0
151,0,0,0.17068421840667725,6.728339195251465,9,1,1,0,0
152,0,0,0.005665017757564783,8.021347999572754,5,1,1,0,0
153,0,0,0.05914809927344322,7.747572898864746,5,1,1,0,0
154,0,0,0.14369383454322815,7.115951061248779,1,0,0,0,1
155,0,0,0.012062855996191502,8.65364933013916,5,1,1,0,0
156,0,0,0.2670162320137024,6.528508186340332,6,1,1,0,0
157,0,0,0.29213398694992065,7.921529293060303,0,0,0,0,1
158,0,0,0.5695133805274963,6.6577253341674805,3,0,0,0,1
159,0,0,0.032714731991291046,7.1095099449157715,4,0,0,0,1
160,0,0,0.0855155736207962,7.258302688598633,4,0,0,0,1
161,0,0,0.14742571115493774,7.518113136291504,6,1,1,0,0
162,0,0,0.00876153539866209,10.1110258102417,5,1,1,0,0
163,0,0,0.10431020706892014,7.143821716308594,4,0,0,0,1
164,0,0,0.28506946563720703,6.435896873474121,6,1,1,0,0
165,0,0,0.8465651869773865,8.05673599243164,5,1,1,0,0
166,0,0,0.07283493876457214,7.237491130828857,4,0,0,0,1
167,0,0,0.10360227525234222,7.155326843261719,5,1,1,0,0
168,0,0,0.030011042952537537,7.198246479034424,1,0,0,0,1
169,0,0,0.05346707999706268,7.328183650970459,4,0,0,0,1
170,0,0,0.10120473802089691,7.264049530029297,4,0,0,0,1
171,0,0,0.05705280601978302,6.182178974151611,7,1,1,0,0
172,0,0,0.6410534381866455,9.215784072875977,2,0,0,1,1
173,0,0,0.4708021879196167,7.1020097732543945,3,0,0,0,1
174,0,1,0.9376822113990784,5.521570682525635,2,0,0,1,1
175,0,0,0.28450286388397217,7.051029682159424,7,1,1,0,0
176,0,0,0.15652154386043549,7.135944843292236,1,0,0,0,1
177,0,0,0.33218905329704285,6.393586158752441,8,1,1,0,0
178,0,0,0.30905044078826904,6.861415863037109,1,0,0,0,1
179,0,1,0.9119831323623657,8.457695960998535,8,1,1,0,0
180,0,0,0.17405164241790771,7.011130332946777,1,0,0,0,1
181,0,1,0.9438380599021912,8.255270004272461,8,1,1,0,0
182,0,0,0.03479976952075958,7.648787498474121,5,1,1,0,0
183,0,0,0.5176727771759033,7.670091152191162,0,0,0,0,1
184,0,0,0.4289097189903259,7.519260406494141,8,1,1,0,0
185,0,0,0.05589418113231659,7.071186065673828,9,1,1,0,0
186,0,0,0.6617157459259033,8.295621871948242,2,0,0,1,1
187,0,0,0.07469634711742401,8.3179292678833,5,1,1,0,0
188,0,0,0.012272700667381287,10.964305877685547,0,0,0,0,1
189,0,0,0.04936538264155388,7.322661399841309,1,0,0,0,1
190,0,0,0.22192344069480896,6.527949333190918,1,0,0,0,1
191,0,0,0.03342392295598984,7.324744701385498,1,0,0,0,1
192,0,0,0.018357472494244576,8.133347511291504,0,0,0,0,1
193,0,0,0.16534417867660522,6.650920391082764,9,1,1,0,0
194,0,0,0.1050826832652092,8.730381965637207,0,0,0,0,1
195,0,0,0.12839607894420624,7.300774097442627,3,0,0,0,1
196,0,0,0.02947404608130455,7.0467963218688965,1,0,0,0,1
197,0,0,0.11069043725728989,8.390478134155273,6,1,1,0,0
198,0,0,0.07194426655769348,7.301283836364746,4,0,0,0,1
